lat,lon,building_type,floor_count,distance_to_fault_km,shaking_intensity,damage_level
38.47490802376947,27.024407646968957,adobe,5,8.63951456140119,7.387821809211412,2
38.59014286128198,27.099035382022254,masonry,3,4.83110230417924,4.082939144639281,1
38.54639878836228,27.006877704223044,rc,5,2.837374663006815,6.560465291496405,1
38.51973169683941,27.181864080415757,masonry,4,7.083495842370745,5.1324788759896895,0
38.431203728088484,27.051755996320004,adobe,5,18.886739226294125,7.225863952047249,2
38.43119890406724,27.132504456870794,adobe,3,6.802457174404727,4.871832145024957,1
38.411616722433635,27.062342215217882,rc,3,10.616417123995639,7.45468869051233,1
38.57323522915499,27.10401360423556,masonry,6,14.208869698455969,5.933676731502687,0
38.520223002348644,27.109342055868655,adobe,4,7.590777246396232,8.683649943683672,2
38.54161451555921,27.036970891105106,rc,2,19.449750613058733,4.687604720729967,0
38.40411689885916,27.193916925552912,adobe,2,19.26772225137117,5.705331755251293,1
38.5939819704324,27.155026564672223,adobe,5,5.409754768594601,4.567367606202946,1
38.566488528160086,27.187899788312837,masonry,6,10.196345864901517,8.623468091392814,1
38.442467822135654,27.17896547008553,adobe,1,6.3671270414270085,8.386696766904905,2
38.43636499344142,27.119579995762216,masonry,5,6.054389640360618,5.289708138575778,0
38.43668090197069,27.184374847004623,adobe,6,1.2192954734133896,7.299920230170895,2
38.4608484485919,27.017698500410383,rc,4,12.386504512607988,8.08611100100608,1
38.504951286326445,27.039196572483828,adobe,4,10.3022409529628,6.776004057997312,1
38.486389003728426,27.009045457782108,masonry,4,1.5038356493747924,6.648252891780032,1
38.45824582803961,27.065066066152653,masonry,4,5.933606052613923,5.209261454502259,0
38.522370578944475,27.077735457937894,rc,4,18.211184776349747,4.465513839029496,0
38.427898772130405,27.054269806354778,adobe,6,5.171456868005962,8.486078789766633,2
38.45842892970704,27.165747501830385,adobe,6,3.3254500057788503,8.502090285816653,2
38.47327236865874,27.071350665338716,rc,3,10.044328825412478,7.16550728636634,1
38.491213996843406,27.056186901937476,adobe,2,19.720183855156712,5.6951489552435035,1
38.557035192278605,27.108539216631648,adobe,4,5.220077794474258,5.746047873063304,1
38.43993475643167,27.028184844994954,masonry,1,13.606643174414632,7.629778394351197,1
38.50284688768272,27.160439396150807,adobe,6,15.351582498909993,8.485551299762886,2
38.51848291377241,27.014910128735956,adobe,1,5.133932107851794,8.435432121325587,2
38.409290082544,27.197377387320103,rc,1,14.700218797931262,7.899377729288119,1
38.52150897038029,27.15444895385933,rc,1,7.671771088025438,7.210158230771439,1
38.43410482473746,27.039743136306836,masonry,3,12.829963696574799,4.4206998249752445,0
38.41301031859705,27.00110442342472,adobe,6,12.853829359837446,4.808143570473069,1
38.589777107450665,27.163092285690965,adobe,1,10.94760633945779,8.492770942635396,2
38.593126406614914,27.141371468769524,adobe,4,2.260650516060962,7.03214529829795,2
38.56167946962329,27.145801433608195,masonry,5,16.78839866399014,4.045985258083149,0
38.46092275383467,27.15425406933719,masonry,1,6.755211266948849,4.50735771433016,0
38.41953442280128,27.014808930346817,rc,3,4.1371109527971575,7.317508845540279,2
38.53684660530243,27.071693145708853,masonry,6,1.2951152603178964,4.025307919231094,1
38.48803049874792,27.023173811905025,adobe,3,12.022412392170715,4.804040257087493,1
